uid,from_uid,latent_dim,beta,epochs,encoder_batch_norm,learning_rate,loss,val_loss
0,,35,2.5000000000000013,10,false,0.001,385.15894585894483,384.82681615787163
1,,75,1,12,true,0.01,382.911745499241,382.82765540598444
2,,65,1,12,true,0.01,382.90399134599846,382.78117578077917
3,,75,1,12,true,0.01,382.91029375080586,382.9543988219567
4,,75,1,12,true,0.01,382.88471555602524,382.9421543279517
5,,75,1,12,true,0.01,382.8784487152672,382.8847477617696
6,,75,1,12,true,0.01,382.8804085023942,382.7962158850557
7,,75,1,12,true,0.01,382.8836609939838,382.7896164367146
8,,75,1,12,true,0.01,382.9495959500129,382.7923476569563
9,,75,1,12,true,0.01,382.8859341758047,382.76777064765776
10,,75,1,12,true,0.01,382.8363943413745,382.7977577143258
11,,75,1,12,true,0.01,382.84978568097836,382.80792951445915
12,,75,1,12,true,0.01,382.84824137247693,382.71739413078404
13,,75,1,12,true,0.01,382.8415453625369,382.779049320644
14,,75,1,12,true,0.01,382.8848970131327,382.94922075115267
15,,75,1,12,true,0.01,382.91367089971953,382.85449927982046
16,,75,1,12,true,0.01,382.8888565372544,382.95863726329895
17,,75,1,12,true,0.01,382.8820859160713,382.845273112607
18,,75,1,12,true,0.01,382.88807141360536,382.80828919222176
19,,80,1,12,true,0.01,382.92233525910774,382.9693476972148
20,,70,1,12,true,0.01,382.8939750425277,382.88242136294036
21,,75,1,12,true,0.01,382.9011186512448,382.76525852420406
22,,80,1,12,true,0.01,382.95258859575733,382.92202702874505
23,,75,1,12,true,0.01,382.91950078736727,382.8803094700194
24,,75,1,12,true,0.01,382.92162396830895,382.9565942335727
25,,75,1,12,true,0.01,382.88590624523806,382.83129247152243
26,,75,1,12,true,0.01,382.92276266545883,382.9656805261007
27,,100,1,12,true,0.01,383.11521147782236,383.2486648780286
28,,75,1,12,true,0.01,382.92477146844084,382.77718810152294
29,,75,1,12,true,0.01,382.89584739782356,382.87840137095435
30,,75,1,12,true,0.01,382.9101768087285,382.8389062394057
31,,75,1,12,true,0.01,382.9083702505216,382.80305714915323
32,,75,1,12,true,0.01,382.888322788705,382.7973030406691
33,,75,1,12,true,0.01,382.88160200755755,382.8812296176715
34,,75,1,12,true,0.01,382.89961587229084,382.8701054748712
35,,75,1,12,true,0.01,382.92259013697515,382.86306718552237
36,,5,1,14,true,0.01,382.6639105040804,382.49284384864507
37,,70,1,12,true,0.01,382.844393479046,382.8262279072746
38,,75,1,12,true,0.01,382.9332950074066,382.9803724298137
39,,80,1,12,true,0.01,382.8932011368931,382.90293894577394
40,,75,1,12,true,0.01,382.90431903630207,382.8828320700959
