Metadata_Plate_Map_Name,Metadata_broad_sample,Metadata_pert_well,Metadata_mmoles_per_liter,Metadata_dose_recode,Metadata_unique_id,0,1,2,3,4,5,6,7,8,9
C-7161-01-LM6-001,BRD-A25234499-001-18-3,B13,10.0,6,BRD-A25234499-001-18-3_dose_6,0.052750647,2.2222185,0.3785291,-0.14156204,0.63328016,-0.7214949,0.42832932,-0.5208397,1.817403,0.45310232
C-7161-01-LM6-001,BRD-A25234499-001-18-3,B14,3.3333,5,BRD-A25234499-001-18-3_dose_5,0.029805303,0.8893915,0.5080867,0.72756255,1.3070815,-0.22169155,-0.42494437,0.6921661,-0.24146096,1.0358567
C-7161-01-LM6-001,BRD-A25234499-001-18-3,B15,1.1111,4,BRD-A25234499-001-18-3_dose_4,2.1632924,1.5288855,0.22201042,-1.2198415,1.0972561,1.35779,0.74901634,0.54111993,-0.27153113,-0.27897075
C-7161-01-LM6-001,BRD-A25234499-001-18-3,B16,0.37037,3,BRD-A25234499-001-18-3_dose_3,-0.5929693,-0.7076242,0.7625778,-0.94901705,-0.19461021,0.9924479,0.3733767,-0.04157134,-1.275631,0.9738767
C-7161-01-LM6-001,BRD-A25234499-001-18-3,B17,0.12346,2,BRD-A25234499-001-18-3_dose_2,2.7220333,0.60135967,-0.021044016,-0.5488184,0.4071417,0.92344135,1.3624924,0.45596817,0.26529413,-0.2657553
C-7161-01-LM6-001,BRD-A25234499-001-18-3,B18,0.041152,1,BRD-A25234499-001-18-3_dose_1,0.561185,1.4820516,0.94054866,-0.7757615,-0.07215518,0.44894296,-1.9224079,0.42877552,-0.86071306,-0.48904693
C-7161-01-LM6-001,BRD-A26032986-050-02-1,C13,10.0,6,BRD-A26032986-050-02-1_dose_6,-1.031787,-0.6044978,0.24864219,0.5316439,0.6294054,0.94342774,0.11824975,-0.19637512,-0.9209535,0.75457585
C-7161-01-LM6-001,BRD-A26032986-050-02-1,C14,3.3333,5,BRD-A26032986-050-02-1_dose_5,-0.6492538,-0.12627003,0.9624289,0.42398378,0.10951178,0.28068766,0.8134526,-0.13556257,-0.2753924,-0.7226319
C-7161-01-LM6-001,BRD-A26032986-050-02-1,C15,1.1111,4,BRD-A26032986-050-02-1_dose_4,-0.51979184,-2.1379187,0.3424099,-0.55683565,0.7225682,-0.9272623,0.3749107,-0.2376056,-0.70635396,0.5110506
C-7161-01-LM6-001,BRD-A26032986-050-02-1,C16,0.37037,3,BRD-A26032986-050-02-1_dose_3,-0.46775115,-1.0596997,0.41810805,0.5281214,-0.832015,-0.052525908,2.2123854,1.3647535,-0.17938772,-0.906669
C-7161-01-LM6-001,BRD-A26032986-050-02-1,C17,0.12346,2,BRD-A26032986-050-02-1_dose_2,-1.1309499,0.6674659,0.75118864,-0.62702,0.047050647,1.338634,-0.72221786,-0.638335,0.22951107,-0.33426082
C-7161-01-LM6-001,BRD-A26032986-050-02-1,C18,0.041152,1,BRD-A26032986-050-02-1_dose_1,0.22481178,1.5270482,1.1189268,-1.3997931,0.47145647,-1.5664337,2.3042333,1.724073,0.3777784,0.15434751
C-7161-01-LM6-001,BRD-A26095496-001-04-0,D13,10.0,6,BRD-A26095496-001-04-0_dose_6,-1.0806279,0.69942963,1.9588498,0.5861546,-0.23574463,0.5353335,0.458677,0.4790384,0.5236136,0.013185978
C-7161-01-LM6-001,BRD-A26095496-001-04-0,D14,3.3333,5,BRD-A26095496-001-04-0_dose_5,-0.398197,-1.0687158,1.7601695,0.0037039989,1.4712441,-0.35583264,-0.7888472,-0.48904306,0.19168133,-0.6777934
C-7161-01-LM6-001,BRD-A26095496-001-04-0,D15,1.1111,4,BRD-A26095496-001-04-0_dose_4,-0.7266079,-1.2704029,1.86811,-0.38379213,-1.3427546,0.44083244,1.1521516,-0.7285514,-2.2198,0.27330855
C-7161-01-LM6-001,BRD-A26095496-001-04-0,D16,0.37037,3,BRD-A26095496-001-04-0_dose_3,1.4679204,-0.33751613,3.0170739,0.32392722,-0.00223051,-0.1879711,-0.7490523,-0.23429066,-0.6146746,0.90952814
C-7161-01-LM6-001,BRD-A26095496-001-04-0,D17,0.12346,2,BRD-A26095496-001-04-0_dose_2,0.9705072,-0.43906343,1.1438677,0.4075559,-0.9782864,0.16274229,0.46079472,1.4278047,-0.011583144,1.2809135
C-7161-01-LM6-001,BRD-A26095496-001-04-0,D18,0.041152,1,BRD-A26095496-001-04-0_dose_1,-0.26716763,-0.5088911,1.3051991,1.3777335,-0.097369134,1.4170318,0.07806506,0.02188921,-0.033129185,0.472439
C-7161-01-LM6-001,BRD-A26334849-001-06-2,D19,10.0,6,BRD-A26334849-001-06-2_dose_6,1.2060508,0.5961962,-0.15010253,-0.79060185,0.6328522,0.012872517,1.254867,0.6655541,-0.019611292,-0.7135356
C-7161-01-LM6-001,BRD-A26334849-001-06-2,D20,3.3333,5,BRD-A26334849-001-06-2_dose_5,1.7576096,2.2438347,-0.53778166,0.1496793,1.0951905,1.3413241,-0.0019426271,-0.1653385,-0.7913059,2.5344393
C-7161-01-LM6-001,BRD-A26334849-001-06-2,D21,1.1111,4,BRD-A26334849-001-06-2_dose_4,0.7365811,0.5918349,0.83753574,-0.47974488,-0.3100224,1.6918743,2.205382,-0.77321887,-0.53865373,2.7759783
C-7161-01-LM6-001,BRD-A26334849-001-06-2,D22,0.37037,3,BRD-A26334849-001-06-2_dose_3,2.6248875,-0.46893126,-0.93457776,-0.30748287,0.7253592,2.27833,-1.5398772,0.20810667,-1.7988886,-1.179701
C-7161-01-LM6-001,BRD-A26334849-001-06-2,D23,0.12346,2,BRD-A26334849-001-06-2_dose_2,-0.074655265,-0.8229971,0.35397547,0.26575318,0.8405886,0.7170156,0.4578384,0.09597269,-0.15026382,-0.45324433
C-7161-01-LM6-001,BRD-A26334849-001-06-2,D24,0.041152,1,BRD-A26334849-001-06-2_dose_1,1.3595109,-0.38379973,0.3160632,0.34451967,-1.3652111,1.6413416,-0.7540711,-0.57397765,0.84021425,0.3050328
C-7161-01-LM6-001,BRD-A26690767-066-01-9,E13,10.0,6,BRD-A26690767-066-01-9_dose_6,0.7866554,1.5986812,0.3165797,0.19309098,0.31831467,1.2863909,-0.24647391,1.6115463,-0.61078763,-0.38907576
C-7161-01-LM6-001,BRD-A26690767-066-01-9,E14,3.3333,5,BRD-A26690767-066-01-9_dose_5,0.43263757,0.3105613,0.22385241,0.19330247,0.90909344,-0.9852495,-0.49702877,-0.6064044,0.12530465,0.3114316
C-7161-01-LM6-001,BRD-A26690767-066-01-9,E15,1.1111,4,BRD-A26690767-066-01-9_dose_4,-0.7687696,-2.3769798,-1.6136045,-0.37926736,-1.0735143,-0.22068015,1.3627372,-1.6605896,-0.8693247,-1.5452644
C-7161-01-LM6-001,BRD-A26690767-066-01-9,E16,0.37037,3,BRD-A26690767-066-01-9_dose_3,-0.64929587,1.7240447,-0.56348795,-0.08720501,-0.062391937,0.7750271,0.13764071,-0.7995859,0.35014206,0.08832269
C-7161-01-LM6-001,BRD-A26690767-066-01-9,E17,0.12346,2,BRD-A26690767-066-01-9_dose_2,-0.061255515,-0.19041808,-0.76371044,-0.065647945,0.19403124,0.46617192,1.0729029,-0.3504182,-0.9734273,0.5952921
C-7161-01-LM6-001,BRD-A26690767-066-01-9,E18,0.041152,1,BRD-A26690767-066-01-9_dose_1,0.2643698,-2.2062075,-0.51585317,-0.4854768,-0.7156772,2.3103123,-0.83280724,-1.3761575,-0.83168715,0.59127724
C-7161-01-LM6-001,BRD-A26711594-003-10-6,E19,10.0,6,BRD-A26711594-003-10-6_dose_6,-0.30307627,0.103983104,-0.5297439,0.84492207,1.4755933,-0.73612297,-0.15931752,-0.43184164,-0.47892725,-1.2181805
C-7161-01-LM6-001,BRD-A26711594-003-10-6,E20,3.3333,5,BRD-A26711594-003-10-6_dose_5,0.32018647,-0.40793213,-1.1179857,-0.8028606,-1.3851144,0.17295589,-0.47528738,-0.19025007,-0.6909144,0.2682601
C-7161-01-LM6-001,BRD-A26711594-003-10-6,E21,1.1111,4,BRD-A26711594-003-10-6_dose_4,-1.01669,-1.0428023,-0.28655216,0.84067345,-1.3513498,-1.2692983,1.1012799,-0.06907904,0.03006344,1.1906391
C-7161-01-LM6-001,BRD-A26711594-003-10-6,E22,0.37037,3,BRD-A26711594-003-10-6_dose_3,-0.74323446,-0.6539631,-0.56196284,-1.0350026,-1.3784645,0.16816738,-0.98157346,-1.1486838,-0.30994463,-0.35347438
C-7161-01-LM6-001,BRD-A26711594-003-10-6,E23,0.12346,2,BRD-A26711594-003-10-6_dose_2,0.3854927,0.27874845,-1.063698,-0.12480804,0.43786472,-0.18705648,-1.1104324,-0.63027453,-0.28302324,0.052279398
C-7161-01-LM6-001,BRD-A26711594-003-10-6,E24,0.041152,1,BRD-A26711594-003-10-6_dose_1,-0.59723675,0.42207137,0.49420977,-0.7135871,1.8437905,-0.42359978,-0.3602107,0.21440664,-1.8373445,-1.1729144
C-7161-01-LM6-001,BRD-A27376179-001-01-3,G01,10.0,6,BRD-A27376179-001-01-3_dose_6,0.9880707,-0.8635467,-0.5811563,0.31381884,1.1071407,-0.1350645,2.5062222,3.6098254,-0.9073476,-1.318212
C-7161-01-LM6-001,BRD-A27376179-001-01-3,G02,3.3333,5,BRD-A27376179-001-01-3_dose_5,0.11296226,-1.2858788,4.879785,0.17489779,1.5331761,-0.43562433,1.7201952,2.299494,-0.04329642,0.722913
C-7161-01-LM6-001,BRD-A27376179-001-01-3,G03,1.1111,4,BRD-A27376179-001-01-3_dose_4,1.2765611,-2.261778,4.7530107,-0.23404257,1.8105086,0.5400113,-0.35588372,1.615059,-1.5990212,0.9583411
C-7161-01-LM6-001,BRD-A27376179-001-01-3,G04,0.37037,3,BRD-A27376179-001-01-3_dose_3,1.1078007,0.22164035,3.3493307,0.8545727,2.0195653,0.036343515,2.449343,0.06836227,0.20774232,-1.2296776
C-7161-01-LM6-001,BRD-A27376179-001-01-3,G05,0.12346,2,BRD-A27376179-001-01-3_dose_2,-0.074483916,-1.6475948,2.8525457,-0.28477296,1.4188154,-0.44398257,-1.10346,-0.27755147,1.0387298,0.29181212
C-7161-01-LM6-001,BRD-A27376179-001-01-3,G06,0.041152,1,BRD-A27376179-001-01-3_dose_1,-0.73411816,0.06302055,-1.0602269,0.7427058,-1.8619385,0.8361285,-0.39823282,-0.5972259,2.8004158,1.0406363
