Metadata_Plate_Map_Name,Metadata_broad_sample,Metadata_pert_well,Metadata_mmoles_per_liter,Metadata_dose_recode,Metadata_unique_id,0,1,2,3,4,5,6,7,8,9
C-7161-01-LM6-001,BRD-A26690767-066-01-9,E14,3.3333,5,BRD-A26690767-066-01-9_dose_5,-0.40006375,-1.1566323,1.8822942,-0.4761508,1.3842629,2.5889807,0.09696236,2.5902395,0.75962365,0.025901556
C-7161-01-LM6-001,BRD-A26690767-066-01-9,E15,1.1111,4,BRD-A26690767-066-01-9_dose_4,-1.3728073,1.8275665,0.21160048,0.5363665,0.39554423,-0.94908035,0.7091467,1.0452949,0.27568257,1.4110947
C-7161-01-LM6-001,BRD-A26690767-066-01-9,E16,0.37037,3,BRD-A26690767-066-01-9_dose_3,0.30374742,0.8957804,0.21478383,-1.2355132,-0.34708655,1.6117256,0.1795159,-0.16368401,0.80091596,0.17059886
C-7161-01-LM6-001,BRD-A26690767-066-01-9,E17,0.12346,2,BRD-A26690767-066-01-9_dose_2,-1.2542818,0.5605581,0.17878348,-0.5862074,0.20199877,1.1779181,-0.059044734,0.15980817,0.7063636,1.1583762
C-7161-01-LM6-001,BRD-A26690767-066-01-9,E18,0.041152,1,BRD-A26690767-066-01-9_dose_1,-1.2718841,0.025023103,-0.20660271,-0.3230381,-0.2977926,0.8646437,-1.441599,0.9461212,0.48874915,1.4531007
C-7161-01-LM6-001,BRD-A26711594-003-10-6,E19,10.0,6,BRD-A26711594-003-10-6_dose_6,-0.2051395,-0.31269008,0.80718154,-0.48003682,0.23012424,0.34923267,-0.39759338,1.8137603,0.08585256,-0.2851015
C-7161-01-LM6-001,BRD-A26711594-003-10-6,E20,3.3333,5,BRD-A26711594-003-10-6_dose_5,0.45140755,-1.0299393,-0.15351632,-0.60327864,-0.07485795,-0.27386612,0.74382323,-0.35633284,-0.8806546,1.1009245
C-7161-01-LM6-001,BRD-A26711594-003-10-6,E21,1.1111,4,BRD-A26711594-003-10-6_dose_4,0.6354728,-0.30266875,-0.6846651,-0.3127269,-1.3342708,0.03727624,0.63661444,1.2044684,0.4486464,0.30997074
C-7161-01-LM6-001,BRD-A26711594-003-10-6,E22,0.37037,3,BRD-A26711594-003-10-6_dose_3,-1.352581,-0.52215743,0.46852756,0.79776573,0.6945613,0.9202083,1.3934363,0.090828955,2.7254753,0.12458578
C-7161-01-LM6-001,BRD-A26711594-003-10-6,E23,0.12346,2,BRD-A26711594-003-10-6_dose_2,-0.65469325,2.4180324,0.41481793,-0.9398042,0.4325626,0.29677567,-1.126641,-1.1550564,-1.7197292,0.0482032
C-7161-01-LM6-001,BRD-A26711594-003-10-6,E24,0.041152,1,BRD-A26711594-003-10-6_dose_1,1.0136367,0.016469128,-0.8406333,-1.0407072,-1.058943,-0.38799924,-1.9565575,-0.5299484,1.398763,0.5547793
C-7161-01-LM6-001,BRD-A27376179-001-01-3,G01,10.0,6,BRD-A27376179-001-01-3_dose_6,2.6818774,-1.1415514,-1.704297,1.25181,-1.4825964,-1.7261615,0.19154415,-1.6237618,-1.6978052,-0.57462907
C-7161-01-LM6-001,BRD-A27376179-001-01-3,G02,3.3333,5,BRD-A27376179-001-01-3_dose_5,-1.5264244,-1.3663754,-0.0051531494,4.330999,-1.6621578,-0.1491981,-1.0150726,1.7366194,1.3100188,-1.2844089
C-7161-01-LM6-001,BRD-A27376179-001-01-3,G03,1.1111,4,BRD-A27376179-001-01-3_dose_4,0.7589921,-1.3492106,0.29957402,3.324324,-0.5416648,0.21951604,-0.012359977,1.7321013,1.8285329,-0.029984415
C-7161-01-LM6-001,BRD-A27376179-001-01-3,G04,0.37037,3,BRD-A27376179-001-01-3_dose_3,0.119609565,0.5134217,1.6799346,2.2618122,0.23602611,0.06813337,0.68208325,-0.22393095,3.5844793,-1.382037
C-7161-01-LM6-001,BRD-A27376179-001-01-3,G05,0.12346,2,BRD-A27376179-001-01-3_dose_2,1.5731536,-1.2395344,-1.1285007,3.294718,-0.7758325,2.6016774,-0.43251258,-1.2716523,0.39957565,-0.16449302
C-7161-01-LM6-001,BRD-A27376179-001-01-3,G06,0.041152,1,BRD-A27376179-001-01-3_dose_1,-0.9553964,-0.12072742,1.5868427,0.6580866,1.4147623,0.81999874,1.8840449,1.3318863,0.43702766,-0.7946111
C-7161-01-LM6-001,BRD-A27732521-003-08-3,H01,10.0,6,BRD-A27732521-003-08-3_dose_6,-0.114164196,0.017076522,-0.3224197,0.61042255,-0.58049357,0.81588274,0.64670265,-1.6092353,0.98917425,0.40487677
C-7161-01-LM6-001,BRD-A27732521-003-08-3,H02,3.3333,5,BRD-A27732521-003-08-3_dose_5,0.31546065,0.65295714,0.80472296,-1.2543948,0.9892164,0.007532455,-1.9308288,1.2258224,0.86425817,0.052191276
C-7161-01-LM6-001,BRD-A27732521-003-08-3,H03,1.1111,4,BRD-A27732521-003-08-3_dose_4,0.69688255,-0.0029570907,-0.77119154,0.61085117,0.6281646,-0.26419225,-0.19395606,-0.52062684,-0.0169366,0.67499125
C-7161-01-LM6-001,BRD-A27732521-003-08-3,H04,0.37037,3,BRD-A27732521-003-08-3_dose_3,-0.65222687,1.4331467,-1.1428604,-0.5571308,1.6232922,2.750677,-1.5870835,-0.22499742,-0.27968335,1.2558554
C-7161-01-LM6-001,BRD-A27732521-003-08-3,H05,0.12346,2,BRD-A27732521-003-08-3_dose_2,-1.9489448,1.259954,-1.2687908,-2.1819036,-0.08551988,0.52927446,-0.14906262,0.9218621,0.57010317,0.10803804
C-7161-01-LM6-001,BRD-A27732521-003-08-3,H06,0.041152,1,BRD-A27732521-003-08-3_dose_1,-0.3463391,-0.17175502,-0.5864449,-0.03096012,2.2909226,0.333423,1.0519909,0.5713161,0.19589241,-0.47400242
C-7161-01-LM6-001,BRD-A28467416-002-01-0,I01,10.0,6,BRD-A28467416-002-01-0_dose_6,0.7283449,0.7395042,1.7770562,3.406538,-1.443744,-1.5401193,1.6387603,0.75756276,0.1725033,-0.48956496
C-7161-01-LM6-001,BRD-A28467416-002-01-0,I02,3.3333,5,BRD-A28467416-002-01-0_dose_5,2.0874631,0.31414068,-1.8396585,1.9039435,0.8686845,-0.003786087,3.8314574,1.8577602,-0.9969785,0.21104339
C-7161-01-LM6-001,BRD-A28467416-002-01-0,I03,1.1111,4,BRD-A28467416-002-01-0_dose_4,1.8072559,-1.5586468,-1.0460125,2.3222387,-1.9361188,0.20194268,1.3518884,2.532268,0.39117348,-0.22252029
C-7161-01-LM6-001,BRD-A28467416-002-01-0,I04,0.37037,3,BRD-A28467416-002-01-0_dose_3,0.8490758,-0.9249247,-0.6046984,2.561707,-0.4337917,0.48396367,-0.61700535,2.8597026,0.628542,1.257189
C-7161-01-LM6-001,BRD-A28467416-002-01-0,I05,0.12346,2,BRD-A28467416-002-01-0_dose_2,1.1357669,-1.0227792,-0.6787449,2.4895887,-1.7636888,-0.3674909,1.6651456,2.474609,2.535852,-0.76130456
C-7161-01-LM6-001,BRD-A28467416-002-01-0,I06,0.041152,1,BRD-A28467416-002-01-0_dose_1,0.26664764,1.3206929,-0.50870085,0.42610478,-0.2198753,-0.5813435,1.227952,-0.33477283,-0.5193426,-2.0325997
C-7161-01-LM6-001,BRD-A28545468-003-16-6,I07,10.0,6,BRD-A28545468-003-16-6_dose_6,-0.43724284,-0.7538023,2.3320513,0.97729874,-0.16491282,-1.6606711,-0.016200699,1.3386757,0.63663125,-0.28324437
C-7161-01-LM6-001,BRD-A28545468-003-16-6,I08,3.3333,5,BRD-A28545468-003-16-6_dose_5,-0.36030182,0.5982464,0.9709679,-1.6464846,0.23931362,2.0714922,-0.061263066,0.52920574,-0.32013634,-0.030771613
C-7161-01-LM6-001,BRD-A28545468-003-16-6,I09,1.1111,4,BRD-A28545468-003-16-6_dose_4,-0.69932884,0.13455705,-1.5001917,-0.91905725,0.44314095,-0.656023,-1.8933339,0.5173042,1.0350878,0.12803695
C-7161-01-LM6-001,BRD-A28545468-003-16-6,I10,0.37037,3,BRD-A28545468-003-16-6_dose_3,-0.24372704,0.9008915,0.6641212,-0.94627863,2.1273177,-0.23082072,-0.79046506,-0.19496232,-0.64818436,0.89170957
C-7161-01-LM6-001,BRD-A28545468-003-16-6,I11,0.12346,2,BRD-A28545468-003-16-6_dose_2,-2.080937,1.0776582,-1.2554933,0.6773585,0.74483293,-1.1197263,-0.11672882,2.1716099,0.15409738,0.5254252
C-7161-01-LM6-001,BRD-A28545468-003-16-6,I12,0.041152,1,BRD-A28545468-003-16-6_dose_1,-1.4004885,0.9249396,0.5260498,-0.78977376,1.5034425,1.0531354,0.06088066,-0.8827306,0.22846417,-0.5561135
C-7161-01-LM6-001,BRD-A28787076-001-04-8,J19,10.0,6,BRD-A28787076-001-04-8_dose_6,-0.058511436,0.7640368,-0.4029594,-0.23503686,1.1205524,0.9974249,-1.5769615,-0.33795542,1.1276087,0.5577292
C-7161-01-LM6-001,BRD-A28787076-001-04-8,J20,3.3333,5,BRD-A28787076-001-04-8_dose_5,-2.0156517,1.0014555,-0.8627099,0.094215676,0.20148987,1.0860786,-1.7807859,-0.47975022,-1.2549754,1.4746853
C-7161-01-LM6-001,BRD-A28787076-001-04-8,J21,1.1111,4,BRD-A28787076-001-04-8_dose_4,-0.14886215,0.6797387,0.71186435,-0.24506468,2.0660014,0.11153734,0.2742063,1.7127994,0.07398259,0.5861867
C-7161-01-LM6-001,BRD-A28787076-001-04-8,J22,0.37037,3,BRD-A28787076-001-04-8_dose_3,-0.77313876,-0.35703892,-1.1986992,0.9906486,-0.6564355,0.56482416,-0.5663444,-1.3006189,-2.0401804,0.2380537
