Metadata_Plate_Map_Name,Metadata_broad_sample,Metadata_pert_well,Metadata_mmoles_per_liter,Metadata_dose_recode,Metadata_unique_id,0,1,2,3,4,5,6,7,8,9
C-7161-01-LM6-001,BRD-A25234499-001-18-3,B13,10.0,6,BRD-A25234499-001-18-3_dose_6,-1.0665498,-1.2458276,0.1497369,0.48877376,-0.8883056,0.10246852,0.17658582,-0.5146469,0.44586828,0.67825365
C-7161-01-LM6-001,BRD-A25234499-001-18-3,B14,3.3333,5,BRD-A25234499-001-18-3_dose_5,0.9222238,0.99981093,1.1304947,-2.1618567,0.46996227,0.8630373,0.9784445,-1.4493079,-0.64571977,1.5151347
C-7161-01-LM6-001,BRD-A25234499-001-18-3,B15,1.1111,4,BRD-A25234499-001-18-3_dose_4,-0.7126362,-1.9616331,0.4788813,-0.5343758,2.569831,-0.47264528,-0.72467494,0.83592796,0.27477616,-0.15839452
C-7161-01-LM6-001,BRD-A25234499-001-18-3,B16,0.37037,3,BRD-A25234499-001-18-3_dose_3,-1.660702,-0.30037582,0.8180459,0.69353527,1.3804855,-0.45366016,-1.1223418,2.3659859,-0.13855936,0.030534433
C-7161-01-LM6-001,BRD-A25234499-001-18-3,B17,0.12346,2,BRD-A25234499-001-18-3_dose_2,0.4687917,0.08123422,1.2540872,-1.878845,-0.06209375,0.007590089,1.8166405,-1.3134443,0.7708391,-0.14956808
C-7161-01-LM6-001,BRD-A25234499-001-18-3,B18,0.041152,1,BRD-A25234499-001-18-3_dose_1,-0.78941727,0.35584193,0.009589087,-0.19521204,-0.8491577,-0.24962325,-1.257872,0.16808788,0.37479895,0.1748733
C-7161-01-LM6-001,BRD-A26032986-050-02-1,C13,10.0,6,BRD-A26032986-050-02-1_dose_6,1.7527592,0.023364045,-0.09656007,-1.0760019,0.28335312,-1.4073617,-1.3268586,-0.10802907,1.2751694,-0.30676088
C-7161-01-LM6-001,BRD-A26032986-050-02-1,C14,3.3333,5,BRD-A26032986-050-02-1_dose_5,-0.16766202,-0.39828157,0.037790954,-1.3807,0.06649942,-0.67179954,-0.8237171,0.34404024,-0.90952086,-0.1339064
C-7161-01-LM6-001,BRD-A26032986-050-02-1,C15,1.1111,4,BRD-A26032986-050-02-1_dose_4,0.95992434,-1.3196142,-0.16118819,1.1151351,-0.7438273,-0.65185237,-2.0987267,0.978299,-0.44374815,0.6274092
C-7161-01-LM6-001,BRD-A26032986-050-02-1,C16,0.37037,3,BRD-A26032986-050-02-1_dose_3,0.37290552,1.5435818,0.021607345,-0.45729873,0.74939406,0.37070537,0.80566186,0.9415717,0.4438953,0.31578004
C-7161-01-LM6-001,BRD-A26032986-050-02-1,C17,0.12346,2,BRD-A26032986-050-02-1_dose_2,0.5865106,1.3782641,-0.08756735,0.9993956,0.7863537,-0.7278397,1.2575253,0.08802891,0.015247457,-1.3234237
C-7161-01-LM6-001,BRD-A26032986-050-02-1,C18,0.041152,1,BRD-A26032986-050-02-1_dose_1,0.08303452,0.064353235,0.429033,0.75401187,-1.505475,-0.2311557,0.63848394,-0.020299844,-1.1390378,0.9084391
C-7161-01-LM6-001,BRD-A26095496-001-04-0,D13,10.0,6,BRD-A26095496-001-04-0_dose_6,0.22718261,0.45983782,-0.6816192,-0.10256305,0.9553431,0.6161447,1.0443544,0.07866451,0.9812919,1.1750958
C-7161-01-LM6-001,BRD-A26095496-001-04-0,D14,3.3333,5,BRD-A26095496-001-04-0_dose_5,0.75706095,-0.17480566,1.3905818,0.7020215,1.8117118,0.6338961,0.78732026,0.9793838,0.20059907,-0.42137694
C-7161-01-LM6-001,BRD-A26095496-001-04-0,D15,1.1111,4,BRD-A26095496-001-04-0_dose_4,-0.8159893,-0.13943039,-1.9592423,-0.7293128,0.74552596,-0.19884717,-0.3621285,-0.55906045,0.7803035,-0.6847288
C-7161-01-LM6-001,BRD-A26095496-001-04-0,D16,0.37037,3,BRD-A26095496-001-04-0_dose_3,-0.1936862,-1.1238302,-0.9692103,-0.3465069,-0.9707738,-0.25403032,-0.39612395,-0.8663767,1.7270143,-2.1138744
C-7161-01-LM6-001,BRD-A26095496-001-04-0,D17,0.12346,2,BRD-A26095496-001-04-0_dose_2,0.84552395,0.66444784,-2.0230227,0.9278279,0.002642259,0.53592944,0.7313616,-0.85033476,-0.5856977,0.6003866
C-7161-01-LM6-001,BRD-A26095496-001-04-0,D18,0.041152,1,BRD-A26095496-001-04-0_dose_1,0.30731156,-1.3045324,0.20997101,0.476216,-1.6171929,0.7104328,-1.3097342,-1.6991693,1.8753848,-0.81044495
C-7161-01-LM6-001,BRD-A26334849-001-06-2,D19,10.0,6,BRD-A26334849-001-06-2_dose_6,0.21333358,-0.951011,0.1213568,-0.28256875,-0.59423643,0.21562418,1.6859252,0.24316259,-0.9023024,-0.06051308
C-7161-01-LM6-001,BRD-A26334849-001-06-2,D20,3.3333,5,BRD-A26334849-001-06-2_dose_5,-0.029906698,0.3122472,0.48712027,1.7277739,0.31695926,0.39280516,1.7947546,-1.054183,-0.8377167,-0.011904705
C-7161-01-LM6-001,BRD-A26334849-001-06-2,D21,1.1111,4,BRD-A26334849-001-06-2_dose_4,0.40248603,-0.8118688,-0.7438699,-0.35655946,1.7096256,0.0046981573,-0.20737755,0.027321799,-0.5652659,-0.86200464
C-7161-01-LM6-001,BRD-A26334849-001-06-2,D22,0.37037,3,BRD-A26334849-001-06-2_dose_3,-0.9416754,-0.041643396,-0.83951885,-0.13143578,-1.2066938,0.55610156,1.0370603,-1.0077174,-1.4912499,-0.4243716
C-7161-01-LM6-001,BRD-A26334849-001-06-2,D23,0.12346,2,BRD-A26334849-001-06-2_dose_2,2.207645,1.463664,-0.7017306,-0.8805644,0.7790607,-0.82487845,-0.016277485,-0.010826033,-0.15753153,-0.42667082
C-7161-01-LM6-001,BRD-A26334849-001-06-2,D24,0.041152,1,BRD-A26334849-001-06-2_dose_1,0.94211084,-1.2733797,-2.0582101,0.7829597,0.7572999,-0.7206651,-0.42146158,0.923279,0.7609242,-0.2249037
C-7161-01-LM6-001,BRD-A26690767-066-01-9,E13,10.0,6,BRD-A26690767-066-01-9_dose_6,-0.5360873,-1.2798567,-1.1729863,-0.81894153,0.61976,-0.16917326,-0.11873091,-0.68336195,-0.49950415,-0.48966753
C-7161-01-LM6-001,BRD-A26690767-066-01-9,E14,3.3333,5,BRD-A26690767-066-01-9_dose_5,-0.19267142,0.8874493,-0.12334284,2.0928617,-0.13171771,-0.77095246,0.7312474,-0.26783973,-1.2375102,-0.5776783
C-7161-01-LM6-001,BRD-A26690767-066-01-9,E15,1.1111,4,BRD-A26690767-066-01-9_dose_4,-1.1876789,-1.0994859,0.72099006,1.3059106,1.6424426,-1.4167084,-1.0957664,0.5844611,-1.1255655,-0.07837412
C-7161-01-LM6-001,BRD-A26690767-066-01-9,E16,0.37037,3,BRD-A26690767-066-01-9_dose_3,-0.9590977,1.8741704,1.7748021,0.30127493,0.51372385,-1.0719529,0.9390958,-1.3674681,0.51264083,-1.3352115
