,Vanilla VAE,Vanilla VAE Shuffled,β-VAE,β-VAE Shuffled,MMD-VAE,MMD-VAE Shuffled,PCA Unshuffled,PCA Shuffled,Original,Original Shuffled
Cell Painting Level 5,1.26 ± 0.85,1.35 ± 1.12,1.25 ± 0.8,1.38 ± 1.16,1.22 ± 0.83,1.34 ± 1.17,1.5 ± 0.78,1.59 ± 1.02,1.55 ± 0.8,1.61 ± 1.01
Cell Painting Level 4,0.37 ± 0.36,0.37 ± 0.36,0.27 ± 0.34,0.28 ± 0.41,0.26 ± 0.3,0.28 ± 0.41,0.3 ± 0.3,0.36 ± 0.37,0.33 ± 0.3,0.37 ± 0.37
L1000,14.54 ± 7.09,13.84 ± 11.41,12.33 ± 6.13,13.5 ± 11.4,12.27 ± 6.13,13.57 ± 11.8,14.85 ± 6.51,15.28 ± 9.96,15.81 ± 6.94,15.82 ± 9.84
