Model,Pearson,MOA
Vanilla,0.8000478639544254,NFkB pathway inhibitor|proteasome inhibitor
Vanilla,0.9971675400869304,dopamine receptor antagonist|serotonin receptor antagonist
Vanilla,0.9963870471941046,cyclooxygenase inhibitor|prostanoid receptor antagonist
Vanilla,0.8542430149812892,mTOR inhibitor|PI3K inhibitor
Vanilla,0.9908256351370752,insulin sensitizer|PPAR receptor agonist
Vanilla,0.990323448455296,FGFR inhibitor|VEGFR inhibitor
Vanilla,0.9796782902602994,estrogen receptor antagonist|selective estrogen receptor modulator (SERM)
Vanilla,0.984786038001838,serotonin receptor agonist|serotonin receptor antagonist
Vanilla,0.5945655053475625,dehydrogenase inhibitor|inositol monophosphatase inhibitor
Vanilla,0.9745239513792148,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
Vanilla,0.988371804416841,11-beta hydroxysteroid dehydrogenase inhibitor|FXR agonist
Vanilla,0.9760161771370643,angiogenesis inhibitor|tumor necrosis factor production inhibitor
Vanilla,0.9555783645064396,norepinephrine reputake inhibitor|tricyclic antidepressant
Vanilla,0.9923876056100772,GABA receptor antagonist|GABA receptor modulator
Vanilla,0.9865268950056952,sodium channel blocker|T-type calcium channel blocker
Vanilla,0.97343187474036,DNA directed DNA polymerase inhibitor|DNA synthesis inhibitor
Vanilla,0.9786239044011982,calcium sensitizer|phosphodiesterase inhibitor
Vanilla,0.6406976465869588,microtubule inhibitor|tubulin polymerization inhibitor
Vanilla,0.5544820728517188,DNA alkylating agent|DNA synthesis inhibitor
Vanilla,0.992523586551468,cholesterol inhibitor|lipase clearing factor inhibitor
Vanilla,0.9207736006510108,thromboxane receptor antagonist|thromboxane synthase inhibitor
Vanilla,0.901734102136992,cytochrome P450 inhibitor|protein synthesis inhibitor
Vanilla,0.9794445936284312,phosphodiesterase inhibitor|sodium channel blocker
Vanilla,0.9604939011599868,AKT inhibitor|mTOR inhibitor
Vanilla,0.7119724787988329,DNA directed DNA polymerase inhibitor|thymidylate synthase inhibitor
Vanilla,0.9932912373150424,adrenergic receptor antagonist|serotonin receptor antagonist
Vanilla,0.9486168901332488,hedgehog pathway inhibitor|smoothened receptor antagonist
Vanilla,0.9571562417337026,bacterial 30S ribosomal subunit inhibitor|bacterial 50S ribosomal subunit inhibitor
Vanilla,0.9888455802223524,acetylcholine receptor agonist|benzodiazepine receptor agonist
Vanilla,0.9885300383902929,opioid receptor agonist|opioid receptor antagonist
Vanilla,0.9755090557926324,melatonin receptor agonist|serotonin receptor antagonist
Vanilla,0.981825181704968,dopamine receptor agonist|serotonin receptor antagonist
Vanilla,0.9501242259637817,DNA synthesis inhibitor|thymidylate synthase inhibitor
Vanilla,0.984965691690539,histamine receptor agonist|histamine receptor antagonist
Vanilla,0.9044282878537242,RAF inhibitor|VEGFR inhibitor
Vanilla,0.6766668002932221,DNA directed DNA polymerase inhibitor|nucleoside reverse transcriptase inhibitor
Vanilla,0.9750983033682208,melatonin receptor agonist|nitric oxide synthase inhibitor
Vanilla,0.9199425587100624,histamine receptor antagonist|platelet activating factor receptor antagonist
Vanilla,0.956015102046674,estrogen receptor antagonist|progesterone receptor agonist
Vanilla,0.9368564030740624,serotonin receptor antagonist|sodium channel blocker
Vanilla,0.976434837920813,acetylcholinesterase inhibitor|microtubule inhibitor
Vanilla,0.9846552962471484,benzodiazepine receptor agonist|GABA benzodiazepine site receptor partial agonist
Vanilla,0.8798503939993387,EGFR inhibitor|protein tyrosine kinase inhibitor
Vanilla,0.9932330620966452,leukotriene receptor antagonist|lipoxygenase inhibitor
Vanilla,0.938953463673996,apoptosis stimulant|ribonucleotide reductase inhibitor
Vanilla,0.9709911293562016,norepinephrine reuptake inhibitor|serotoninânorepinephrine reuptake inhibitor (SNRI)
