MOA	model	zscore	metric
microtubule inhibitor|tubulin polymerization inhibitor	MMD	-3.1294737966116215	L2 distance
microtubule inhibitor|tubulin polymerization inhibitor	PCA	-2.8888384638583107	L2 distance
microtubule inhibitor|tubulin polymerization inhibitor	Complete	-3.0305147509848354	L2 distance
DNA alkylating agent|DNA synthesis inhibitor	Vanilla	-2.162668634087084	L2 distance
DNA alkylating agent|DNA synthesis inhibitor	Beta	-2.665239124831643	L2 distance
DNA alkylating agent|DNA synthesis inhibitor	MMD	-2.9221437112158	L2 distance
DNA alkylating agent|DNA synthesis inhibitor	PCA	-2.147231410430959	L2 distance
DNA alkylating agent|DNA synthesis inhibitor	Complete	-2.2641886306558145	L2 distance
cholesterol inhibitor|lipase clearing factor inhibitor	Vanilla	-0.8205700296638092	L2 distance
cholesterol inhibitor|lipase clearing factor inhibitor	Beta	-1.1322460755571222	L2 distance
cholesterol inhibitor|lipase clearing factor inhibitor	MMD	-0.16071952870148623	L2 distance
cholesterol inhibitor|lipase clearing factor inhibitor	PCA	0.19689255421725868	L2 distance
cholesterol inhibitor|lipase clearing factor inhibitor	Complete	-0.3563283870643298	L2 distance
thromboxane receptor antagonist|thromboxane synthase inhibitor	Vanilla	1.1635457151014956	L2 distance
thromboxane receptor antagonist|thromboxane synthase inhibitor	Beta	2.2168098484958065	L2 distance
thromboxane receptor antagonist|thromboxane synthase inhibitor	MMD	1.140168012233585	L2 distance
thromboxane receptor antagonist|thromboxane synthase inhibitor	PCA	0.94839021415568	L2 distance
thromboxane receptor antagonist|thromboxane synthase inhibitor	Complete	2.1559725552391953	L2 distance
cytochrome P450 inhibitor|protein synthesis inhibitor	Vanilla	2.9729677542064317	L2 distance
cytochrome P450 inhibitor|protein synthesis inhibitor	Beta	0.4944549846010189	L2 distance
cytochrome P450 inhibitor|protein synthesis inhibitor	MMD	1.8036720709958614	L2 distance
cytochrome P450 inhibitor|protein synthesis inhibitor	PCA	2.2539726501392443	L2 distance
cytochrome P450 inhibitor|protein synthesis inhibitor	Complete	2.7228020768452526	L2 distance
phosphodiesterase inhibitor|sodium channel blocker	Vanilla	-2.5356786346157727	L2 distance
phosphodiesterase inhibitor|sodium channel blocker	Beta	-1.7109632773732537	L2 distance
phosphodiesterase inhibitor|sodium channel blocker	MMD	-1.575890718560961	L2 distance
phosphodiesterase inhibitor|sodium channel blocker	PCA	-1.8665930397673145	L2 distance
phosphodiesterase inhibitor|sodium channel blocker	Complete	-2.510017030386352	L2 distance
AKT inhibitor|mTOR inhibitor	Vanilla	-2.7398480692606912	L2 distance
AKT inhibitor|mTOR inhibitor	Beta	-0.9382811363523949	L2 distance
AKT inhibitor|mTOR inhibitor	MMD	-1.5486676544367797	L2 distance
AKT inhibitor|mTOR inhibitor	PCA	2.7521827974782664	L2 distance
AKT inhibitor|mTOR inhibitor	Complete	2.9725717934997986	L2 distance
DNA directed DNA polymerase inhibitor|thymidylate synthase inhibitor	Vanilla	0.583048879891125	L2 distance
DNA directed DNA polymerase inhibitor|thymidylate synthase inhibitor	Beta	0.45218992830971066	L2 distance
DNA directed DNA polymerase inhibitor|thymidylate synthase inhibitor	MMD	0.5538110072432406	L2 distance
DNA directed DNA polymerase inhibitor|thymidylate synthase inhibitor	PCA	1.7972797526615367	L2 distance
DNA directed DNA polymerase inhibitor|thymidylate synthase inhibitor	Complete	1.2001874281178027	L2 distance
adrenergic receptor antagonist|serotonin receptor antagonist	Vanilla	-1.6118820434819376	L2 distance
adrenergic receptor antagonist|serotonin receptor antagonist	Beta	-2.24506391088967	L2 distance
adrenergic receptor antagonist|serotonin receptor antagonist	MMD	-0.965617459509869	L2 distance
adrenergic receptor antagonist|serotonin receptor antagonist	PCA	-1.9979441424836566	L2 distance
adrenergic receptor antagonist|serotonin receptor antagonist	Complete	-1.9943339263541722	L2 distance
hedgehog pathway inhibitor|smoothened receptor antagonist	Vanilla	0.04422443340893085	L2 distance
hedgehog pathway inhibitor|smoothened receptor antagonist	Beta	0.28738152628477764	L2 distance
hedgehog pathway inhibitor|smoothened receptor antagonist	MMD	-0.8777708911935682	L2 distance
hedgehog pathway inhibitor|smoothened receptor antagonist	PCA	0.8031039811383747	L2 distance
hedgehog pathway inhibitor|smoothened receptor antagonist	Complete	0.31754555764302794	L2 distance
bacterial 30S ribosomal subunit inhibitor|bacterial 50S ribosomal subunit inhibitor	Vanilla	-0.8047477983379461	L2 distance
bacterial 30S ribosomal subunit inhibitor|bacterial 50S ribosomal subunit inhibitor	Beta	1.6046462858675803	L2 distance
bacterial 30S ribosomal subunit inhibitor|bacterial 50S ribosomal subunit inhibitor	MMD	0.3489075930767813	L2 distance
bacterial 30S ribosomal subunit inhibitor|bacterial 50S ribosomal subunit inhibitor	PCA	-0.09982828010524968	L2 distance
bacterial 30S ribosomal subunit inhibitor|bacterial 50S ribosomal subunit inhibitor	Complete	-0.7016252987860859	L2 distance
acetylcholine receptor agonist|benzodiazepine receptor agonist	Vanilla	-1.172378624685078	L2 distance
acetylcholine receptor agonist|benzodiazepine receptor agonist	Beta	-1.166156766734517	L2 distance
acetylcholine receptor agonist|benzodiazepine receptor agonist	MMD	-2.0402198803789293	L2 distance
acetylcholine receptor agonist|benzodiazepine receptor agonist	PCA	-1.6920744532346677	L2 distance
acetylcholine receptor agonist|benzodiazepine receptor agonist	Complete	-1.4231156373552691	L2 distance
opioid receptor agonist|opioid receptor antagonist	Vanilla	-0.7504094081264301	L2 distance
opioid receptor agonist|opioid receptor antagonist	Beta	-0.4260350339653544	L2 distance
opioid receptor agonist|opioid receptor antagonist	MMD	-0.5772304566869332	L2 distance
opioid receptor agonist|opioid receptor antagonist	PCA	1.0271347332763177	L2 distance
opioid receptor agonist|opioid receptor antagonist	Complete	1.6634285498966928	L2 distance
melatonin receptor agonist|serotonin receptor antagonist	Vanilla	-0.5719947291215686	L2 distance
melatonin receptor agonist|serotonin receptor antagonist	Beta	-0.20563699243509412	L2 distance
melatonin receptor agonist|serotonin receptor antagonist	MMD	-0.33512458362217756	L2 distance
melatonin receptor agonist|serotonin receptor antagonist	PCA	0.11678124842788573	L2 distance
melatonin receptor agonist|serotonin receptor antagonist	Complete	1.0680405230472672	L2 distance
dopamine receptor agonist|serotonin receptor antagonist	Vanilla	-1.0250506973235232	L2 distance
dopamine receptor agonist|serotonin receptor antagonist	Beta	-1.451390789849653	L2 distance
dopamine receptor agonist|serotonin receptor antagonist	MMD	-0.5107871389476902	L2 distance
dopamine receptor agonist|serotonin receptor antagonist	PCA	-1.0615170325338537	L2 distance
dopamine receptor agonist|serotonin receptor antagonist	Complete	-0.9985435252955784	L2 distance
DNA synthesis inhibitor|thymidylate synthase inhibitor	Vanilla	1.0836022784968053	L2 distance
DNA synthesis inhibitor|thymidylate synthase inhibitor	Beta	2.363564892077005	L2 distance
DNA synthesis inhibitor|thymidylate synthase inhibitor	MMD	2.097991933883249	L2 distance
DNA synthesis inhibitor|thymidylate synthase inhibitor	PCA	1.1490809251405418	L2 distance
DNA synthesis inhibitor|thymidylate synthase inhibitor	Complete	1.8553477632479762	L2 distance
histamine receptor agonist|histamine receptor antagonist	Vanilla	-0.9173601835126626	L2 distance
histamine receptor agonist|histamine receptor antagonist	Beta	-1.459777616505734	L2 distance
histamine receptor agonist|histamine receptor antagonist	MMD	-1.0592501037479323	L2 distance
histamine receptor agonist|histamine receptor antagonist	PCA	-1.3154391142759432	L2 distance
histamine receptor agonist|histamine receptor antagonist	Complete	-1.2131460466573718	L2 distance
RAF inhibitor|VEGFR inhibitor	Vanilla	-1.4001446322848645	L2 distance
RAF inhibitor|VEGFR inhibitor	Beta	-0.37142182436617704	L2 distance
RAF inhibitor|VEGFR inhibitor	MMD	-1.0741818783295751	L2 distance
RAF inhibitor|VEGFR inhibitor	PCA	-0.005493724827604333	L2 distance
RAF inhibitor|VEGFR inhibitor	Complete	1.08178573511225	L2 distance
DNA directed DNA polymerase inhibitor|nucleoside reverse transcriptase inhibitor	Vanilla	0.5867923206842491	L2 distance
DNA directed DNA polymerase inhibitor|nucleoside reverse transcriptase inhibitor	Beta	1.227647624650036	L2 distance
DNA directed DNA polymerase inhibitor|nucleoside reverse transcriptase inhibitor	MMD	1.196312798854953	L2 distance
DNA directed DNA polymerase inhibitor|nucleoside reverse transcriptase inhibitor	PCA	1.7983402509324824	L2 distance
DNA directed DNA polymerase inhibitor|nucleoside reverse transcriptase inhibitor	Complete	1.8128053744292358	L2 distance
melatonin receptor agonist|nitric oxide synthase inhibitor	Vanilla	-0.44340617093438156	L2 distance
melatonin receptor agonist|nitric oxide synthase inhibitor	Beta	-0.5455094728188886	L2 distance
melatonin receptor agonist|nitric oxide synthase inhibitor	MMD	-0.5570607073847096	L2 distance
melatonin receptor agonist|nitric oxide synthase inhibitor	PCA	-0.8701869567551864	L2 distance
melatonin receptor agonist|nitric oxide synthase inhibitor	Complete	-0.8079324677402455	L2 distance
histamine receptor antagonist|platelet activating factor receptor antagonist	Vanilla	2.003298373152692	L2 distance
histamine receptor antagonist|platelet activating factor receptor antagonist	Beta	1.916081979693907	L2 distance
histamine receptor antagonist|platelet activating factor receptor antagonist	MMD	1.4090843370960615	L2 distance
histamine receptor antagonist|platelet activating factor receptor antagonist	PCA	2.4774023213631917	L2 distance
histamine receptor antagonist|platelet activating factor receptor antagonist	Complete	2.2830165007779084	L2 distance
estrogen receptor antagonist|progesterone receptor agonist	Vanilla	-0.8910609031192726	L2 distance
estrogen receptor antagonist|progesterone receptor agonist	Beta	-1.4350977699755667	L2 distance
estrogen receptor antagonist|progesterone receptor agonist	MMD	-1.0520054532431433	L2 distance
estrogen receptor antagonist|progesterone receptor agonist	PCA	-0.5281397363949778	L2 distance
estrogen receptor antagonist|progesterone receptor agonist	Complete	-0.5880783266286167	L2 distance
serotonin receptor antagonist|sodium channel blocker	Vanilla	-1.8333242433298578	L2 distance
serotonin receptor antagonist|sodium channel blocker	Beta	-2.299307969940298	L2 distance
serotonin receptor antagonist|sodium channel blocker	MMD	-0.9814244943625238	L2 distance
serotonin receptor antagonist|sodium channel blocker	PCA	-2.0452804574304517	L2 distance
serotonin receptor antagonist|sodium channel blocker	Complete	-2.0935380382247972	L2 distance
acetylcholinesterase inhibitor|microtubule inhibitor	Vanilla	0.300760056769221	L2 distance
acetylcholinesterase inhibitor|microtubule inhibitor	Beta	1.6666969114637942	L2 distance
acetylcholinesterase inhibitor|microtubule inhibitor	MMD	1.6335832914821344	L2 distance
acetylcholinesterase inhibitor|microtubule inhibitor	PCA	1.1666007608987454	L2 distance
acetylcholinesterase inhibitor|microtubule inhibitor	Complete	2.1831690493307505	L2 distance
benzodiazepine receptor agonist|GABA benzodiazepine site receptor partial agonist	Vanilla	-0.47249823955190656	L2 distance
benzodiazepine receptor agonist|GABA benzodiazepine site receptor partial agonist	Beta	-0.86432568738152	L2 distance
benzodiazepine receptor agonist|GABA benzodiazepine site receptor partial agonist	MMD	-0.1985960340256159	L2 distance
benzodiazepine receptor agonist|GABA benzodiazepine site receptor partial agonist	PCA	-1.2618315411735845	L2 distance
benzodiazepine receptor agonist|GABA benzodiazepine site receptor partial agonist	Complete	-0.3338296967309386	L2 distance
EGFR inhibitor|protein tyrosine kinase inhibitor	Vanilla	2.995370847499689	L2 distance
EGFR inhibitor|protein tyrosine kinase inhibitor	Beta	2.9454024124579155	L2 distance
EGFR inhibitor|protein tyrosine kinase inhibitor	MMD	3.051450014247107	L2 distance
EGFR inhibitor|protein tyrosine kinase inhibitor	PCA	2.7708477674066048	L2 distance
EGFR inhibitor|protein tyrosine kinase inhibitor	Complete	2.120844318276855	L2 distance
leukotriene receptor antagonist|lipoxygenase inhibitor	Vanilla	-1.1273294594142373	L2 distance
leukotriene receptor antagonist|lipoxygenase inhibitor	Beta	-0.23712971058668714	L2 distance
leukotriene receptor antagonist|lipoxygenase inhibitor	MMD	-0.507408661589731	L2 distance
leukotriene receptor antagonist|lipoxygenase inhibitor	PCA	-0.6033102855682185	L2 distance
leukotriene receptor antagonist|lipoxygenase inhibitor	Complete	-0.9032695597326669	L2 distance
apoptosis stimulant|ribonucleotide reductase inhibitor	Vanilla	2.0359896239630895	L2 distance
apoptosis stimulant|ribonucleotide reductase inhibitor	Beta	2.8885384173552584	L2 distance
apoptosis stimulant|ribonucleotide reductase inhibitor	MMD	0.7076366330340329	L2 distance
apoptosis stimulant|ribonucleotide reductase inhibitor	PCA	0.82257781188752	L2 distance
apoptosis stimulant|ribonucleotide reductase inhibitor	Complete	0.9705288957351377	L2 distance
norepinephrine reuptake inhibitor|serotoninânorepinephrine reuptake inhibitor (SNRI)	Vanilla	0.7692411043967613	L2 distance
norepinephrine reuptake inhibitor|serotoninânorepinephrine reuptake inhibitor (SNRI)	Beta	0.5199056327450757	L2 distance
norepinephrine reuptake inhibitor|serotoninânorepinephrine reuptake inhibitor (SNRI)	MMD	-1.130499493109099	L2 distance
norepinephrine reuptake inhibitor|serotoninânorepinephrine reuptake inhibitor (SNRI)	PCA	-1.3266695699739974	L2 distance
norepinephrine reuptake inhibitor|serotoninânorepinephrine reuptake inhibitor (SNRI)	Complete	-1.4935207595677868	L2 distance
DNA inhibitor|topoisomerase inhibitor	Vanilla	-3.0583257336139464	L2 distance
DNA inhibitor|topoisomerase inhibitor	Beta	-3.0012102778216656	L2 distance
DNA inhibitor|topoisomerase inhibitor	MMD	-3.1382879163867616	L2 distance
DNA inhibitor|topoisomerase inhibitor	PCA	-2.986181729466255	L2 distance
DNA inhibitor|topoisomerase inhibitor	Complete	-3.05299307341163	L2 distance
cyclooxygenase inhibitor|opioid receptor agonist	Vanilla	0.012752843122578872	L2 distance
cyclooxygenase inhibitor|opioid receptor agonist	Beta	1.5767037872843368	L2 distance
cyclooxygenase inhibitor|opioid receptor agonist	MMD	-0.38897643389847564	L2 distance
cyclooxygenase inhibitor|opioid receptor agonist	PCA	0.2204521409302324	L2 distance
cyclooxygenase inhibitor|opioid receptor agonist	Complete	-0.4728541235543335	L2 distance
dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor	Vanilla	-1.701245353676625	L2 distance
dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor	Beta	-0.5755026814200377	L2 distance
dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor	MMD	-0.503021460407425	L2 distance
dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor	PCA	-1.5810187524762207	L2 distance
dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor	Complete	-0.8421127374837262	L2 distance
antiviral|RNA synthesis inhibitor	Vanilla	2.4254120101951044	L2 distance
antiviral|RNA synthesis inhibitor	Beta	1.0476873097205337	L2 distance
antiviral|RNA synthesis inhibitor	MMD	2.207966565433511	L2 distance
antiviral|RNA synthesis inhibitor	PCA	1.6816867092477206	L2 distance
antiviral|RNA synthesis inhibitor	Complete	1.5453064251872062	L2 distance
cyclooxygenase inhibitor|lipoxygenase inhibitor	Vanilla	-2.354261204448381	L2 distance
cyclooxygenase inhibitor|lipoxygenase inhibitor	Beta	-1.2565006687043432	L2 distance
cyclooxygenase inhibitor|lipoxygenase inhibitor	MMD	-1.063010586666303	L2 distance
cyclooxygenase inhibitor|lipoxygenase inhibitor	PCA	-1.6958454927233604	L2 distance
cyclooxygenase inhibitor|lipoxygenase inhibitor	Complete	-2.0474370770091417	L2 distance
glucocorticoid receptor agonist|immunosuppressant	Vanilla	0.5734363155111575	L2 distance
glucocorticoid receptor agonist|immunosuppressant	Beta	-2.450384769817844	L2 distance
glucocorticoid receptor agonist|immunosuppressant	MMD	0.5901728178116493	L2 distance
glucocorticoid receptor agonist|immunosuppressant	PCA	-2.855755287761595	L2 distance
glucocorticoid receptor agonist|immunosuppressant	Complete	-3.0050232961388113	L2 distance
adenosine reuptake inhibitor|phosphodiesterase inhibitor	Vanilla	-0.46761671212737765	L2 distance
adenosine reuptake inhibitor|phosphodiesterase inhibitor	Beta	0.9607025523019954	L2 distance
adenosine reuptake inhibitor|phosphodiesterase inhibitor	MMD	-0.6878805619537085	L2 distance
adenosine reuptake inhibitor|phosphodiesterase inhibitor	PCA	0.7514826656074978	L2 distance
adenosine reuptake inhibitor|phosphodiesterase inhibitor	Complete	1.3644908237318862	L2 distance
cyclooxygenase inhibitor|PPAR receptor agonist	Vanilla	1.0472742312384664	L2 distance
cyclooxygenase inhibitor|PPAR receptor agonist	Beta	-0.07686681612182389	L2 distance
cyclooxygenase inhibitor|PPAR receptor agonist	MMD	0.9093983853562262	L2 distance
cyclooxygenase inhibitor|PPAR receptor agonist	PCA	-0.6125731969756222	L2 distance
cyclooxygenase inhibitor|PPAR receptor agonist	Complete	-0.5676901835702597	L2 distance
aromatase inhibitor|TRPV antagonist	Vanilla	-0.10115428995730641	L2 distance
aromatase inhibitor|TRPV antagonist	Beta	2.3113991670128478	L2 distance
aromatase inhibitor|TRPV antagonist	MMD	1.342589525402686	L2 distance
aromatase inhibitor|TRPV antagonist	PCA	1.7740405126177716	L2 distance
aromatase inhibitor|TRPV antagonist	Complete	1.8936830201286987	L2 distance
adrenergic receptor antagonist|glutamate receptor antagonist	Vanilla	0.36973250682709036	L2 distance
adrenergic receptor antagonist|glutamate receptor antagonist	Beta	1.1887540460110273	L2 distance
adrenergic receptor antagonist|glutamate receptor antagonist	MMD	1.2162697249201675	L2 distance
adrenergic receptor antagonist|glutamate receptor antagonist	PCA	1.9782566634521748	L2 distance
adrenergic receptor antagonist|glutamate receptor antagonist	Complete	1.9565972494007622	L2 distance
RNA synthesis inhibitor|topoisomerase inhibitor	Vanilla	-2.8213472136471136	L2 distance
RNA synthesis inhibitor|topoisomerase inhibitor	Beta	-2.440701933636046	L2 distance
RNA synthesis inhibitor|topoisomerase inhibitor	MMD	-3.1016187440539817	L2 distance
RNA synthesis inhibitor|topoisomerase inhibitor	PCA	-1.6486724466094123	L2 distance
RNA synthesis inhibitor|topoisomerase inhibitor	Complete	-1.6658993112467158	L2 distance
adrenergic receptor antagonist|calcium channel blocker	Vanilla	-1.2977945162374815	L2 distance
adrenergic receptor antagonist|calcium channel blocker	Beta	-2.3164467953647963	L2 distance
adrenergic receptor antagonist|calcium channel blocker	MMD	-2.0632119154469204	L2 distance
adrenergic receptor antagonist|calcium channel blocker	PCA	-2.173083054989102	L2 distance
adrenergic receptor antagonist|calcium channel blocker	Complete	-2.041698378862481	L2 distance
Aurora kinase inhibitor|JAK inhibitor	Vanilla	-3.1124377159607524	L2 distance
Aurora kinase inhibitor|JAK inhibitor	Beta	-3.083190864487757	L2 distance
Aurora kinase inhibitor|JAK inhibitor	MMD	-3.125840429444187	L2 distance
Aurora kinase inhibitor|JAK inhibitor	PCA	-3.1026375774739585	L2 distance
Aurora kinase inhibitor|JAK inhibitor	Complete	-3.075505404035922	L2 distance
leukotriene synthesis inhibitor|lipoxygenase inhibitor	Vanilla	-0.523475005534663	L2 distance
leukotriene synthesis inhibitor|lipoxygenase inhibitor	Beta	-0.3031037166814779	L2 distance
leukotriene synthesis inhibitor|lipoxygenase inhibitor	MMD	-0.2741528107884893	L2 distance
leukotriene synthesis inhibitor|lipoxygenase inhibitor	PCA	-0.142803707796502	L2 distance
leukotriene synthesis inhibitor|lipoxygenase inhibitor	Complete	0.2907962795380856	L2 distance
EGFR inhibitor|VEGFR inhibitor	Vanilla	-1.1019454020034196	L2 distance
EGFR inhibitor|VEGFR inhibitor	Beta	-2.601765845428696	L2 distance
EGFR inhibitor|VEGFR inhibitor	MMD	-1.5249204420246392	L2 distance
EGFR inhibitor|VEGFR inhibitor	PCA	1.709600603937688	L2 distance
EGFR inhibitor|VEGFR inhibitor	Complete	2.5294016900651703	L2 distance
dopamine receptor antagonist|serotonin receptor agonist	Vanilla	-0.7058233931260411	L2 distance
dopamine receptor antagonist|serotonin receptor agonist	Beta	-0.5099208942327561	L2 distance
