MOA	model	zscore	metric
NFkB pathway inhibitor|proteasome inhibitor	Vanilla	-3.1535610216736085	L2 distance
NFkB pathway inhibitor|proteasome inhibitor	Beta	-3.143671490428088	L2 distance
NFkB pathway inhibitor|proteasome inhibitor	MMD	-3.153877285455838	L2 distance
NFkB pathway inhibitor|proteasome inhibitor	PCA	-2.9704054920363356	L2 distance
NFkB pathway inhibitor|proteasome inhibitor	Complete	-2.8067380103758226	L2 distance
dopamine receptor antagonist|serotonin receptor antagonist	Vanilla	-1.1796382610359928	L2 distance
dopamine receptor antagonist|serotonin receptor antagonist	Beta	0.30679829339656023	L2 distance
dopamine receptor antagonist|serotonin receptor antagonist	MMD	-0.1120010739276876	L2 distance
dopamine receptor antagonist|serotonin receptor antagonist	PCA	-0.9937103372375069	L2 distance
dopamine receptor antagonist|serotonin receptor antagonist	Complete	-1.0735195025281254	L2 distance
cyclooxygenase inhibitor|prostanoid receptor antagonist	Vanilla	0.9260589972787527	L2 distance
cyclooxygenase inhibitor|prostanoid receptor antagonist	Beta	2.1296617435519174	L2 distance
cyclooxygenase inhibitor|prostanoid receptor antagonist	MMD	2.5846506205286106	L2 distance
cyclooxygenase inhibitor|prostanoid receptor antagonist	PCA	0.7505297021125491	L2 distance
cyclooxygenase inhibitor|prostanoid receptor antagonist	Complete	0.40806493379511066	L2 distance
mTOR inhibitor|PI3K inhibitor	Vanilla	-2.954679357839281	L2 distance
mTOR inhibitor|PI3K inhibitor	Beta	-3.0832877817757818	L2 distance
mTOR inhibitor|PI3K inhibitor	MMD	-3.0155341643810165	L2 distance
mTOR inhibitor|PI3K inhibitor	PCA	-2.8733125850372874	L2 distance
mTOR inhibitor|PI3K inhibitor	Complete	-2.898809683723589	L2 distance
insulin sensitizer|PPAR receptor agonist	Vanilla	-1.3332681240313413	L2 distance
insulin sensitizer|PPAR receptor agonist	Beta	-0.5249192445833217	L2 distance
insulin sensitizer|PPAR receptor agonist	MMD	-1.1731453664252982	L2 distance
insulin sensitizer|PPAR receptor agonist	PCA	-0.7674605039948935	L2 distance
insulin sensitizer|PPAR receptor agonist	Complete	-0.6341093023245991	L2 distance
FGFR inhibitor|VEGFR inhibitor	Vanilla	0.46839036499796843	L2 distance
FGFR inhibitor|VEGFR inhibitor	Beta	1.0845439535779857	L2 distance
FGFR inhibitor|VEGFR inhibitor	MMD	-1.4464760888470176	L2 distance
FGFR inhibitor|VEGFR inhibitor	PCA	0.4344101889684733	L2 distance
FGFR inhibitor|VEGFR inhibitor	Complete	2.4107304523013156	L2 distance
estrogen receptor antagonist|selective estrogen receptor modulator (SERM)	Vanilla	-0.5199317111549451	L2 distance
estrogen receptor antagonist|selective estrogen receptor modulator (SERM)	Beta	-0.6037779671172964	L2 distance
estrogen receptor antagonist|selective estrogen receptor modulator (SERM)	MMD	-0.49067057640498357	L2 distance
estrogen receptor antagonist|selective estrogen receptor modulator (SERM)	PCA	-0.29408194426453826	L2 distance
estrogen receptor antagonist|selective estrogen receptor modulator (SERM)	Complete	-0.36220333241089103	L2 distance
serotonin receptor agonist|serotonin receptor antagonist	Vanilla	-0.8206158163888052	L2 distance
serotonin receptor agonist|serotonin receptor antagonist	Beta	-1.1416036920316635	L2 distance
serotonin receptor agonist|serotonin receptor antagonist	MMD	-0.7325325835610792	L2 distance
serotonin receptor agonist|serotonin receptor antagonist	PCA	-1.6935190562674112	L2 distance
serotonin receptor agonist|serotonin receptor antagonist	Complete	-1.4338562347926058	L2 distance
dehydrogenase inhibitor|inositol monophosphatase inhibitor	Vanilla	0.5762181855376479	L2 distance
dehydrogenase inhibitor|inositol monophosphatase inhibitor	Beta	1.6848273750187839	L2 distance
dehydrogenase inhibitor|inositol monophosphatase inhibitor	MMD	0.6382259995505875	L2 distance
dehydrogenase inhibitor|inositol monophosphatase inhibitor	PCA	0.6794668868005116	L2 distance
dehydrogenase inhibitor|inositol monophosphatase inhibitor	Complete	0.40365967064505504	L2 distance
PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	Vanilla	-0.11286836573428874	L2 distance
PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	Beta	-1.8115457744033228	L2 distance
PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	MMD	-0.8656994664238087	L2 distance
PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	PCA	0.13038441880847398	L2 distance
PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	Complete	-0.45826367801723394	L2 distance
11-beta hydroxysteroid dehydrogenase inhibitor|FXR agonist	Vanilla	0.3361965012420586	L2 distance
11-beta hydroxysteroid dehydrogenase inhibitor|FXR agonist	Beta	1.1917808372586025	L2 distance
11-beta hydroxysteroid dehydrogenase inhibitor|FXR agonist	MMD	-0.3587689921511663	L2 distance
11-beta hydroxysteroid dehydrogenase inhibitor|FXR agonist	PCA	0.11758459725142427	L2 distance
11-beta hydroxysteroid dehydrogenase inhibitor|FXR agonist	Complete	0.18558113107434168	L2 distance
angiogenesis inhibitor|tumor necrosis factor production inhibitor	Vanilla	1.3751411131133313	L2 distance
angiogenesis inhibitor|tumor necrosis factor production inhibitor	Beta	-0.7451597416122849	L2 distance
angiogenesis inhibitor|tumor necrosis factor production inhibitor	MMD	-0.24598945527808455	L2 distance
angiogenesis inhibitor|tumor necrosis factor production inhibitor	PCA	-0.7381934234716296	L2 distance
angiogenesis inhibitor|tumor necrosis factor production inhibitor	Complete	-0.5237465145024558	L2 distance
norepinephrine reputake inhibitor|tricyclic antidepressant	Vanilla	-0.19752631252862143	L2 distance
norepinephrine reputake inhibitor|tricyclic antidepressant	Beta	1.6143352632964185	L2 distance
norepinephrine reputake inhibitor|tricyclic antidepressant	MMD	1.9783602763063357	L2 distance
norepinephrine reputake inhibitor|tricyclic antidepressant	PCA	1.3370658032015952	L2 distance
norepinephrine reputake inhibitor|tricyclic antidepressant	Complete	0.5882527374632284	L2 distance
GABA receptor antagonist|GABA receptor modulator	Vanilla	-0.38508317328656505	L2 distance
GABA receptor antagonist|GABA receptor modulator	Beta	0.6491906672069755	L2 distance
GABA receptor antagonist|GABA receptor modulator	MMD	0.37917819005593423	L2 distance
GABA receptor antagonist|GABA receptor modulator	PCA	-0.3492518600071533	L2 distance
GABA receptor antagonist|GABA receptor modulator	Complete	-0.3627154139569968	L2 distance
sodium channel blocker|T-type calcium channel blocker	Vanilla	-1.0927541604513704	L2 distance
sodium channel blocker|T-type calcium channel blocker	Beta	0.24132857191700238	L2 distance
sodium channel blocker|T-type calcium channel blocker	MMD	-0.2588170821601018	L2 distance
sodium channel blocker|T-type calcium channel blocker	PCA	-0.1522190582103955	L2 distance
sodium channel blocker|T-type calcium channel blocker	Complete	-0.42611331329181323	L2 distance
DNA directed DNA polymerase inhibitor|DNA synthesis inhibitor	Vanilla	-0.5525954612964625	L2 distance
DNA directed DNA polymerase inhibitor|DNA synthesis inhibitor	Beta	0.6304495800945054	L2 distance
DNA directed DNA polymerase inhibitor|DNA synthesis inhibitor	MMD	-0.9204840318325265	L2 distance
DNA directed DNA polymerase inhibitor|DNA synthesis inhibitor	PCA	-1.0663692137654075	L2 distance
DNA directed DNA polymerase inhibitor|DNA synthesis inhibitor	Complete	-1.2619322684156498	L2 distance
calcium sensitizer|phosphodiesterase inhibitor	Vanilla	0.03241399424963312	L2 distance
calcium sensitizer|phosphodiesterase inhibitor	Beta	-0.3110375052054704	L2 distance
calcium sensitizer|phosphodiesterase inhibitor	MMD	-0.39732971878905654	L2 distance
calcium sensitizer|phosphodiesterase inhibitor	PCA	-0.8904212359330699	L2 distance
calcium sensitizer|phosphodiesterase inhibitor	Complete	-0.1928313112985404	L2 distance
microtubule inhibitor|tubulin polymerization inhibitor	Vanilla	-3.133867868209902	L2 distance
microtubule inhibitor|tubulin polymerization inhibitor	Beta	-3.1515662244294687	L2 distance
