Dataset,VAE,MSE,MSE (Shuffled),Earthmoving,Earthmoving (Shuffled),Earthmoving 5%,Earthmoving 95%,Earthmoving (Shuffled) 5%,Earthmoving (Shuffled) 95%
Cell Painting level 5,Vanilla,0.003870512366930959,0.008766733745263553,0.01628568045520914,0.024173852839284336,0.006294759208074266,0.0397631178128025,0.009602178212307163,0.060213136327406394
Cell Painting level 5,Beta,0.002724977739085308,0.008729548505349646,0.012332000226368479,0.024456721659915987,0.005283971285095926,0.02772672774415634,0.010007694604917454,0.061267639996982357
Cell Painting level 5,MMD,0.00435211696843314,0.008756676134811925,0.015718591215337644,0.02415315005038145,0.005908934548806822,0.04392036599601552,0.009927401128454656,0.060680433494505824
Cell Painting level 5,PCA,0.0010255688166237076,0.01532090678476124,0.005821657731347713,0.02573786642331166,0.002852399853719683,0.015601451903338158,0.010712867182373378,0.06612724450214681
