Dataset,VAE,MSE,MSE (Shuffled),Earthmoving,Earthmoving (Shuffled),Earthmoving 5%,Earthmoving 95%,Earthmoving (Shuffled) 5%,Earthmoving (Shuffled) 95%
Cell Painting level 4,Vanilla,0.0014484187408017883,0.0014392724814970492,0.005924405348235781,0.005262499286381512,0.004319735816971786,0.009424674885488553,0.004144531447450154,0.008061145547023191
Cell Painting level 4,Beta,0.0009062566888026337,0.0014384734350205968,0.004529710255296763,0.005110014970515682,0.002241324531697595,0.013093643106703329,0.004010303653113736,0.008018083267130213
Cell Painting level 4,MMD,0.0007546858451182361,0.001373581970091404,0.0039350974953343,0.005091292807461437,0.0022608907395166447,0.010466901164840031,0.003960757846202909,0.008214801214899278
Cell Painting level 4,PCA,0.00042353643384114,0.002346501680458383,0.0030173870739005453,0.005266715256307842,0.001932277226998999,0.007592724772983423,0.003808868322438892,0.011556633496984157
