Dataset,VAE,MSE,MSE (Shuffled),Earthmoving,Earthmoving (Shuffled),Earthmoving 5%,Earthmoving 95%,Earthmoving (Shuffled) 5%,Earthmoving (Shuffled) 95%,Earthmoving [Formatted],Earthmoving (Shuffled) [Formatted]
Cell Painting level 5,Vanilla,0.00387,0.00877,0.01629,0.02417,0.00629,0.03976,0.0096,0.06021,"0.01629 (0.00629, 0.03976)","0.02417 (0.0096, 0.06021)"
Cell Painting level 5,Beta,0.00272,0.00873,0.01233,0.02446,0.00528,0.02773,0.01001,0.06127,"0.01233 (0.00528, 0.02773)","0.02446 (0.01001, 0.06127)"
Cell Painting level 5,MMD,0.00435,0.00876,0.01572,0.02415,0.00591,0.04392,0.00993,0.06068,"0.01572 (0.00591, 0.04392)","0.02415 (0.00993, 0.06068)"
Cell Painting level 5,PCA,0.00103,0.01532,0.00582,0.02574,0.00285,0.0156,0.01071,0.06613,"0.00582 (0.00285, 0.0156)","0.02574 (0.01071, 0.06613)"
Cell Painting level 4,Vanilla,0.00145,0.00144,0.00592,0.00526,0.00432,0.00942,0.00414,0.00806,"0.00592 (0.00432, 0.00942)","0.00526 (0.00414, 0.00806)"
Cell Painting level 4,Beta,0.00091,0.00144,0.00453,0.00511,0.00224,0.01309,0.00401,0.00802,"0.00453 (0.00224, 0.01309)","0.00511 (0.00401, 0.00802)"
Cell Painting level 4,MMD,0.00075,0.00137,0.00394,0.00509,0.00226,0.01047,0.00396,0.00821,"0.00394 (0.00226, 0.01047)","0.00509 (0.00396, 0.00821)"
Cell Painting level 4,PCA,0.00042,0.00235,0.00302,0.00527,0.00193,0.00759,0.00381,0.01156,"0.00302 (0.00193, 0.00759)","0.00527 (0.00381, 0.01156)"
L1000,Vanilla,0.8452,1.84944,0.24882,0.6103,0.13764,0.36123,0.27901,1.94387,"0.24882 (0.13764, 0.36123)","0.6103 (0.27901, 1.94387)"
L1000,Beta,1.22791,2.10461,0.44536,0.67024,0.22634,0.72693,0.29265,2.25361,"0.44536 (0.22634, 0.72693)","0.67024 (0.29265, 2.25361)"
L1000,MMD,1.27257,2.04975,0.47544,0.64132,0.24814,0.78591,0.28707,2.02716,"0.47544 (0.24814, 0.78591)","0.64132 (0.28707, 2.02716)"
L1000,PCA,0.91768,3.17994,0.26463,0.57486,0.17913,0.3851,0.23937,2.0222,"0.26463 (0.17913, 0.3851)","0.57486 (0.23937, 2.0222)"
