epoch,model,shuffled,loss_type,loss_value
0,beta,real,loss,30.083614349365234
1,beta,real,loss,7.804604530334473
2,beta,real,loss,6.057419300079346
3,beta,real,loss,4.963554382324219
4,beta,real,loss,4.23612642288208
5,beta,real,loss,3.824676513671875
6,beta,real,loss,3.627540588378906
7,beta,real,loss,3.479054450988769
8,beta,real,loss,3.3766062259674072
9,beta,real,loss,3.3419480323791504
10,beta,real,loss,3.261258602142334
11,beta,real,loss,3.2160027027130127
12,beta,real,loss,3.146215915679932
13,beta,real,loss,3.1474833488464355
14,beta,real,loss,3.114352941513061
15,beta,real,loss,3.0970301628112797
16,beta,real,loss,3.034853935241699
17,beta,real,loss,3.0658838748931885
18,beta,real,loss,3.013699531555176
19,beta,real,loss,2.9925687313079834
20,beta,real,loss,2.96351957321167
21,beta,real,loss,2.9535021781921387
22,beta,real,loss,2.948399782180786
23,beta,real,loss,2.922357082366944
24,beta,real,loss,2.9054596424102783
25,beta,real,loss,2.910250425338745
26,beta,real,loss,2.879628896713257
27,beta,real,loss,2.8521857261657715
28,beta,real,loss,2.856910228729248
29,beta,real,loss,2.846914291381836
30,beta,real,loss,2.8368279933929443
31,beta,real,loss,2.832948446273804
32,beta,real,loss,2.8014636039733887
33,beta,real,loss,2.803050756454468
34,beta,real,loss,2.7949774265289307
35,beta,real,loss,2.788694143295288
36,beta,real,loss,2.766176700592041
37,beta,real,loss,2.712681531906128
38,beta,real,loss,2.797264814376831
39,beta,real,loss,2.7572057247161865
40,beta,real,loss,2.736513137817383
41,beta,real,loss,2.702817440032959
42,beta,real,loss,2.696633100509644
43,beta,real,loss,2.694573879241944
44,beta,real,loss,2.693748950958252
45,beta,real,loss,2.70992112159729
46,beta,real,loss,2.713073968887329
47,beta,real,loss,2.697913885116577
48,beta,real,loss,2.627137899398804
49,beta,real,loss,2.65439772605896
50,beta,real,loss,2.664228916168213
51,beta,real,loss,2.665291786193848
52,beta,real,loss,2.637673854827881
53,beta,real,loss,2.668262720108032
54,beta,real,loss,2.6201720237731934
55,beta,real,loss,2.6043038368225098
56,beta,real,loss,2.6128034591674805
57,beta,real,loss,2.606170415878296
58,beta,real,loss,2.614630937576294
59,beta,real,loss,2.5682685375213623
60,beta,real,loss,2.6061110496521
61,beta,real,loss,2.5840325355529785
62,beta,real,loss,2.5741610527038574
63,beta,real,loss,2.566946029663086
64,beta,real,loss,2.538207530975342
65,beta,real,loss,2.538657665252685
66,beta,real,loss,2.5748608112335205
67,beta,real,loss,2.55211877822876
68,beta,real,loss,2.570016860961914
69,beta,real,loss,2.514375686645508
70,beta,real,loss,2.546706199645996
71,beta,real,loss,2.5381128787994385
72,beta,real,loss,2.5153088569641118
73,beta,real,loss,2.5076563358306885
74,beta,real,loss,2.5061776638031006
75,beta,real,loss,2.4719698429107666
76,beta,real,loss,2.5010664463043213
77,beta,real,loss,2.4927117824554443
78,beta,real,loss,2.4633941650390625
79,beta,real,loss,2.469425916671753
80,beta,real,loss,2.515415668487549
81,beta,real,loss,2.442460060119629
82,beta,real,loss,2.472146511077881
83,beta,real,loss,2.458841323852539
84,beta,real,loss,2.453619241714477
85,beta,real,loss,2.442086696624756
86,beta,real,loss,2.4594852924346924
87,beta,real,loss,2.4302008152008057
88,beta,real,loss,2.429312467575073
89,beta,real,loss,2.4175281524658203
90,beta,real,loss,2.422630548477173
91,beta,real,loss,2.424617052078247
92,beta,real,loss,2.445505142211914
93,beta,real,loss,2.429145097732544
94,beta,real,loss,2.380706548690796
95,beta,real,loss,2.388417959213257
96,beta,real,loss,2.4106216430664062
97,beta,real,loss,2.4002013206481934
98,beta,real,loss,2.359049797058105
99,beta,real,loss,2.384643077850342
0,vanilla,real,loss,33.47934341430664
1,vanilla,real,loss,9.432254791259766
2,vanilla,real,loss,7.029122352600098
3,vanilla,real,loss,5.814743995666504
4,vanilla,real,loss,5.117501735687256
5,vanilla,real,loss,4.736188411712647
6,vanilla,real,loss,4.573800563812256
7,vanilla,real,loss,4.427857398986816
8,vanilla,real,loss,4.3348588943481445
9,vanilla,real,loss,4.262639045715332
10,vanilla,real,loss,4.23403787612915
11,vanilla,real,loss,4.260798931121826
12,vanilla,real,loss,4.271843910217285
13,vanilla,real,loss,4.2179765701293945
14,vanilla,real,loss,4.177285194396973
15,vanilla,real,loss,4.12419319152832
16,vanilla,real,loss,4.154331684112549
17,vanilla,real,loss,4.124410152435303
18,vanilla,real,loss,4.091716766357422
19,vanilla,real,loss,4.089554786682129
20,vanilla,real,loss,4.064582824707031
21,vanilla,real,loss,4.095323085784912
22,vanilla,real,loss,4.0979719161987305
23,vanilla,real,loss,4.0430097579956055
24,vanilla,real,loss,4.0938801765441895
25,vanilla,real,loss,4.029085636138916
26,vanilla,real,loss,4.048098564147949
27,vanilla,real,loss,4.081423282623291
28,vanilla,real,loss,4.00809383392334
29,vanilla,real,loss,4.000855922698975
30,vanilla,real,loss,4.003321647644043
31,vanilla,real,loss,4.024028778076172
32,vanilla,real,loss,4.023817539215088
33,vanilla,real,loss,4.000597953796387
34,vanilla,real,loss,3.993418216705322
35,vanilla,real,loss,3.955604314804077
36,vanilla,real,loss,3.916271686553955
37,vanilla,real,loss,3.953023195266724
38,vanilla,real,loss,3.982102155685425
39,vanilla,real,loss,3.9652931690216064
40,vanilla,real,loss,3.9194061756134033
41,vanilla,real,loss,3.9410905838012695
42,vanilla,real,loss,3.905540227890015
43,vanilla,real,loss,3.912811756134033
44,vanilla,real,loss,3.926494836807251
45,vanilla,real,loss,3.9032135009765625
46,vanilla,real,loss,3.8942418098449703
47,vanilla,real,loss,3.8716862201690674
48,vanilla,real,loss,3.8679797649383545
49,vanilla,real,loss,3.8291845321655273
50,vanilla,real,loss,3.777634382247925
51,vanilla,real,loss,3.785314798355103
52,vanilla,real,loss,3.762099742889404
53,vanilla,real,loss,3.789658784866333
54,vanilla,real,loss,3.7258148193359375
55,vanilla,real,loss,3.775448322296143
56,vanilla,real,loss,3.711872577667236
57,vanilla,real,loss,3.655618667602539
58,vanilla,real,loss,3.697807550430298
59,vanilla,real,loss,3.664684295654297
