epoch,model,shuffled,loss_type,loss_value
0,beta,real,loss,2038.13818359375
1,beta,real,loss,1722.7227783203125
2,beta,real,loss,1657.680908203125
3,beta,real,loss,1624.6285400390625
4,beta,real,loss,1597.0731201171875
5,beta,real,loss,1573.489013671875
6,beta,real,loss,1555.8720703125
7,beta,real,loss,1546.9840087890625
8,beta,real,loss,1534.433837890625
9,beta,real,loss,1525.563232421875
10,beta,real,loss,1522.817626953125
11,beta,real,loss,1513.15283203125
12,beta,real,loss,1509.9893798828125
13,beta,real,loss,1501.12890625
14,beta,real,loss,1496.2108154296875
15,beta,real,loss,1491.3211669921875
16,beta,real,loss,1488.03125
17,beta,real,loss,1482.661865234375
18,beta,real,loss,1480.29443359375
19,beta,real,loss,1474.7666015625
20,beta,real,loss,1470.4075927734375
21,beta,real,loss,1463.7890625
22,beta,real,loss,1461.0035400390625
23,beta,real,loss,1456.756591796875
24,beta,real,loss,1450.5382080078125
25,beta,real,loss,1444.6739501953125
26,beta,real,loss,1444.30859375
27,beta,real,loss,1441.1097412109375
28,beta,real,loss,1436.2442626953125
29,beta,real,loss,1433.3125
30,beta,real,loss,1431.02392578125
31,beta,real,loss,1427.8883056640625
32,beta,real,loss,1426.767578125
33,beta,real,loss,1423.0606689453125
34,beta,real,loss,1422.5123291015625
35,beta,real,loss,1416.813720703125
36,beta,real,loss,1415.237548828125
37,beta,real,loss,1415.0230712890625
38,beta,real,loss,1412.45654296875
39,beta,real,loss,1410.7320556640625
40,beta,real,loss,1407.46240234375
41,beta,real,loss,1407.55029296875
42,beta,real,loss,1406.7822265625
43,beta,real,loss,1403.2362060546875
44,beta,real,loss,1402.9208984375
45,beta,real,loss,1399.38232421875
46,beta,real,loss,1397.98779296875
47,beta,real,loss,1397.2161865234375
48,beta,real,loss,1396.8095703125
49,beta,real,loss,1394.679443359375
50,beta,real,loss,1394.1788330078125
51,beta,real,loss,1391.608154296875
52,beta,real,loss,1391.2994384765625
53,beta,real,loss,1388.0672607421875
54,beta,real,loss,1389.6539306640625
55,beta,real,loss,1388.32470703125
56,beta,real,loss,1385.785400390625
57,beta,real,loss,1385.10693359375
58,beta,real,loss,1384.8712158203125
59,beta,real,loss,1383.19091796875
60,beta,real,loss,1382.629638671875
61,beta,real,loss,1381.866943359375
62,beta,real,loss,1380.47705078125
63,beta,real,loss,1380.2337646484375
64,beta,real,loss,1378.0291748046875
65,beta,real,loss,1378.573486328125
66,beta,real,loss,1380.0223388671875
67,beta,real,loss,1378.1051025390625
68,beta,real,loss,1377.235107421875
69,beta,real,loss,1375.176025390625
70,beta,real,loss,1374.2032470703125
71,beta,real,loss,1372.965576171875
72,beta,real,loss,1372.24365234375
73,beta,real,loss,1372.8001708984375
74,beta,real,loss,1373.0504150390625
75,beta,real,loss,1370.9560546875
76,beta,real,loss,1370.950927734375
77,beta,real,loss,1370.6719970703125
78,beta,real,loss,1370.029296875
79,beta,real,loss,1368.2965087890625
80,beta,real,loss,1368.8187255859375
